address,origin,subsystem,disposition,confidence,evidence_id
0x00401000,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401090,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004010B0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004010F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401280,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401360,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004013F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401420,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401450,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401530,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401610,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401660,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401700,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401920,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401B70,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401BE0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401C10,authored,AnmVm,authored,exact,anm-vm-initialize-2026-08-29
0x00401D30,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401EB0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401F10,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402010,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004020C0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402250,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402330,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004024A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402620,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402680,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402750,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402990,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402B80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402BF0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402C20,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402C50,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402C80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402E90,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402F60,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004031A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00403440,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004048B0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404950,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404A30,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404AC0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404B10,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404B80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404C60,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404C80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404D00,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404DC0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404E00,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404E70,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404EB0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404ED0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404F80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004050C0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00405120,authored,BulletManager,authored,high,photo-bullet-manager-update-semantic-2026-08-30
0x00405850,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004058C0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00405900,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004059C0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
